taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
11479710	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11879226			Hermodarchaeles		Hermodarchaeles	Hermodarchaeles			order			accepted			Archaea	Asgardarchaeota	Hermodarchaeia	Hermodarchaeles		
10791973	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10832109			Babeliales		Babeliales	Babeliales			order			accepted			Bacteria	Dependentiae	Babeliae	Babeliales		
9779483	7ddf754f-d193-4cc9-b351-99906754a03b	9723807			Chloropicales		Chloropicales	Chloropicales			order		Lopes dos Santos, A.; Pollina, T.; Gourvil, P.; Corre, E.; Marie, D.; Garrido, J. L.; Rodríguez, F.; Noël, M.-H.; Vaulot, D.; Eikrem, W. (2017). Chloropicophyceae, a new class of picophytoplanktonic prasinophytes. Scientific Reports. 7(1).	accepted			Plantae	Chlorophyta	Chloropicophyceae	Chloropicales		
10754264	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10761152			Geobacterales		Geobacterales	Geobacterales			order			accepted			Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales		
1383	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10761152			Desulfuromonadales		Desulfuromonadales	Desulfuromonadales			order			accepted			Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales		
11426823	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11757136			JAGOGO01						order			accepted			Bacteria	Desulfobacterota	WTBG01	JAGOGO01		
11862341	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11757136			CAIYCZ01						order			accepted			Bacteria	Desulfobacterota	WTBG01	CAIYCZ01		
11851018	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11451590			Zymogeniales		Zymogeniales	Zymogeniales			order			accepted			Bacteria	Desulfobacterota	Zymogenia	Zymogeniales		
11553257	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10895279			S146-70						order			accepted			Bacteria	Desulfobacterota	GWC2-55-46	S146-70		
11441840	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10895279			UBA9637						order			accepted			Bacteria	Desulfobacterota	GWC2-55-46	UBA9637		
11494750	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10895279			S146-80						order			accepted			Bacteria	Desulfobacterota	GWC2-55-46	S146-80		
10672055	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10843512			Dissulfuribacterales		Dissulfuribacterales	Dissulfuribacterales			order			accepted			Bacteria	Desulfobacterota	Dissulfuribacteria	Dissulfuribacterales		
10847807	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10672374			Syntrophales		Syntrophales	Syntrophales			order			accepted			Bacteria	Desulfobacterota	Syntrophia	Syntrophales		
10872891	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10859599			BM002						order			accepted			Bacteria	Desulfobacterota	Syntrophobacteria	BM002		
656	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10859599			Syntrophobacterales		Syntrophobacterales	Syntrophobacterales			order			accepted			Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales		
10764384	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10859599			B119-G9						order			accepted			Bacteria	Desulfobacterota	Syntrophobacteria	B119-G9		
1477	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	218			Thermodesulfobacteriales		Thermodesulfobacteriales	Thermodesulfobacteriales			order			accepted			Bacteria	Desulfobacterota	Thermodesulfobacteria	Thermodesulfobacteriales		
7892413	7ea21580-4f06-469d-995b-3f713fdcc37c	192			Scourfieldiales		Scourfieldiales	Scourfieldiales			order			accepted			Plantae	Chlorophyta	Pedinophyceae	Scourfieldiales		
1358	7ea21580-4f06-469d-995b-3f713fdcc37c	192			Pedinomonadales		Pedinomonadales	Pedinomonadales			order			accepted			Plantae	Chlorophyta	Pedinophyceae	Pedinomonadales		
8089451	7ea21580-4f06-469d-995b-3f713fdcc37c	193			Pleurastrales		Pleurastrales	Pleurastrales			order			accepted			Plantae	Chlorophyta	Pleurastrophyceae	Pleurastrales		
9742808	7ddf754f-d193-4cc9-b351-99906754a03b	9760172			Picocystales		Picocystales	Picocystales			order		Lopes dos Santos, A.; Pollina, T.; Gourvil, P.; Corre, E.; Marie, D.; Garrido, J. L.; Rodríguez, F.; Noël, M.-H.; Vaulot, D.; Eikrem, W. (2017). Chloropicophyceae, a new class of picophytoplanktonic prasinophytes. Scientific Reports. 7(1).	accepted			Plantae	Chlorophyta	Picocystophyceae	Picocystales		
630	7ea21580-4f06-469d-995b-3f713fdcc37c	329			Phaeophilales		Phaeophilales	Phaeophilales			order			accepted			Plantae	Chlorophyta	Chlorophyceae	Phaeophilales		
629	7ea21580-4f06-469d-995b-3f713fdcc37c	329			Oedogoniales		Oedogoniales	Oedogoniales			order			accepted			Plantae	Chlorophyta	Chlorophyceae	Oedogoniales		
1346	7ea21580-4f06-469d-995b-3f713fdcc37c	329			Chaetopeltidales		Chaetopeltidales	Chaetopeltidales			order			accepted			Plantae	Chlorophyta	Chlorophyceae	Chaetopeltidales		
1347	7ea21580-4f06-469d-995b-3f713fdcc37c	329			Chaetophorales		Chaetophorales	Chaetophorales			order			accepted			Plantae	Chlorophyta	Chlorophyceae	Chaetophorales		
